cocktail_name,ingredients_list,recipe,glassware,source
Siboney,"aged Jamaican rum, pineapple rum, pineapple juice, lime juice, passion fruit syrup, Demerara syrup","1 1/2 ounces aged Jamaican rum (preferably Doctor Bird)<br>
1/2 ounce Plantation Stiggins' Fancy pineapple rum<br>
1 ounce pineapple juice<br>
3/4 ounce lime juice<br>
1/2 ounce passion fruit syrup<br>
1/2 ounce rich Demerara syrup",,Easy Tiki
Trader Vic's Sour,"bourbon, lemon juice, orgeat, simple syrup","2 ounces bourbon Scotch or brandy<br>
3/4 ounce lemon juice<br>
1/2 ounce orgeat<br>
1/4 ounce simple syrup",,Easy Tiki
Trader Vic's Sour,"Scotch, lemon juice, orgeat, simple syrup","2 ounces bourbon Scotch or brandy<br>
3/4 ounce lemon juice<br>
1/2 ounce orgeat<br>
1/4 ounce simple syrup",,Easy Tiki
Trader Vic's Sour,"brandy, lemon juice, orgeat, simple syrup","2 ounces bourbon Scotch or brandy<br>
3/4 ounce lemon juice<br>
1/2 ounce orgeat<br>
1/4 ounce simple syrup",,Easy Tiki
London Sour,"orange, mezcal, lemon juice, manzanilla sherry, orgeat, passion fruit syrup","1 orange wedge (about 1/4 orange)<br>
1 1/2 ounces mezcal (preferably Del Maguey Vida)<br>
3/4 ounce lemon juice<br>
1/2 ounce manzanilla sherry (preferably Barbadillo)<br>
1/2 ounce orgeat<br>
1/2 ounce passion fruit syrup",,Easy Tiki
Eastern Sour,"bourbon, orange juice, lemon juice, orgeat","1 1/2 ounces bourbon<br>
1 ounce orange juice<br>
1/2 ounce lemon juice<br>
1/4 ounce orgeat",,Easy Tiki
Lost Voyage,"aged Martinique rum, amontillado sherry, cinnamon syrup, lemon juice, orange juice, Angostura bitters","1 1/2 ounces aged Martinique rum (preferably Rhum Clément Select Barrel)<br>
1 1/2 ounces amontillado sherry (preferably Lustau)<br>
1 ounce cinnamon syrup<br>
1 ounce lemon juice<br>
1 ounce orange juice<br>
1 teaspoon Angostura bitters",,Easy Tiki
Improved Bajan Rum Punch,"Barbados rum, ginger syrup, lime juice, Angostura bitters, soda water","2 ounces Barbados rum (preferably Mount Gay Black Barrel)<br>
1 ounce ginger syrup<br>
3/4 ounce lime juice<br>
2 dashes Angostura bitters<br>
1 ounce soda water",,Easy Tiki
Quarantine Order,"aged Jamaican rum, lime juice, grapefruit juice, cinnamon syrup, passion fruit syrup, Angostura bitters","3 ounces aged Jamaican rum (preferably equal parts Appleton Estate Signature and Rum-Bar Gold)<br>
1 ounce lime juice<br>
1 ounce grapefruit juice<br>
1/2 ounce cinnamon syrup<br>
1/2 ounce passion fruit syrup<br>
5 dashes Angostura bitters",,Easy Tiki
Paradise Lost,"vodka, coconut water, fino sherry, lime juice, orgeat","1 ounce vodka<br>
1 ounce coconut water<br>
1 ounce fino sherry<br>
3/4 ounce lime juice<br>
1/2 ounce orgeat",,Easy Tiki
Junior Colada,"pineapple rum, coconut liqueur, pineapple juice, lime juice, coconut soda","1 ounce Plantation Stiggins' Fancy pineapple rum<br>
1/2 ounce coconut liqueur (preferably Rhum Clément Mahina Coco)<br>
1 ounce pineapple juice<br>
3/4 ounce lime juice<br>
coconut soda to top",,Easy Tiki
Elusive Dreams,"pineapple rum, blended unaged rum, pineapple juice, lime juice, cinnamon syrup, banana liqueur","1 ounce Plantation Stiggins' Fancy pineapple rum<br>
1 ounce blended unaged rum (preferably Plantation 3 Stars)<br>
1 ounce pineapple juice<br>
3/4 ounce lime juice<br>
3/4 ounce cinnamon syrup<br>
1/2 ounce banana liqueur (preferably Giffard Banane du Brésil)",,Easy Tiki
Wishful Thinking,"sloe gin, unaged Martinique rum, lime juice, ginger syrup, Angostura bitters, absinthe","2 ounces sloe gin (preferably Hayman's)<br>
1 ounce unaged Martinique rum (preferably Rhum J.M Blanc)<br>
1 ounce lime juice<br>
1 ounce ginger syrup<br>
3 dashes Angostura bitters<br>
3 dashes absinthe",,Easy Tiki
Iron Ranger,"bourbon, pineapple juice, lemon juice, velvet falernum, simple syrup, Angostura bitters","2 ounces bourbon<br>
1 ounce pineapple juice<br>
3/4 ounce lemon juice<br>
1/2 ounce John D. Taylor's velvet falernum<br>
1/2 ounce simple syrup<br>
2 dashes Angostura bitters",,Easy Tiki
Mojito Criolla No. 1,"mint leaves, unaged Puerto Rican rum, lime juice, sugar, sparkling water","10 mint leaves<br>
2 ounces unaged Puerto Rican rum<br>
1 ounce lime juice<br>
2 barspoons sugar<br>
3 ounces sparkling water",,Easy Tiki
Our Man in Havana,"aromatized wine, unaged Haitian rum, dry orange curaçao, orgeat, Angostura bitters, orange bitters","2 ounces Byrrh aromatized wine<br>
1 ounce unaged Haitian rum (preferably Rhum Barbancourt 5 Star)<br>
1 teaspoon dry orange curaçao<br>
1/2 teaspoon orgeat<br>
1 dash Angostura bitters<br>
1 dash orange bitters",,Easy Tiki
Baldwin's (Easy) Sherry Colada,"sherry, pineapple juice, coconut cream, lemon juice","2 ounces amontillado sherry<br>
1 ounce pineapple juice<br>
1 ounce coconut cream<br>
3/4 ounce lemon juice",,Easy Tiki
Privateer,"tequila, passion fruit syrup, pineapple juice, lime juice, salt","1 1/2 ounce tequila<br>
3/4 ounce passion fruit syrup<br>
3/4 ounce pineapple juice<br>
1/2 ounce lime juice<br>
pinch of salt",,Easy Tiki
Third Wave Swizzle,"gin, honey syrup, lemon juice, coffee concentrate, ginger syrup","2 ounces gin<br>
3/4 ounce honey syrup<br>
3/4 ounce lemon juice<br>
1/2 ounce cold-brew coffee concentrate<br>
1/4 ounce ginger syrup",,Easy Tiki
Something Tequila,"tequila, lime juice, orange juice, pineapple juice, simple syrup, passion fruit syrup","3 ounces tequila (preferably añejo)<br>
1 ounce lime juice<br>
1 ounce orange juice<br>
1 ounce pineapple juice<br>
1 ounce simple syrup<br>
1/2 ounce passion fruit syrup",barrel-shaped tiki mug,Easy Tiki
Staycation,"aged Demerara rum, rye, lemon juice, coconut cream, apricot liqueur, passion fruit syrup","1 ounce aged Demerara rum (preferably Hamilton 86)<br>
1 ounce rye (preferably Rittenhouse)<br>
1 ounce lemon juice<br>
1 ounce coconut cream<br>
1/2 ounce apricot liqueur<br>
1/4 ounce passion fruit syrup",,Easy Tiki
Southpaw Swizzle,"manzanilla sherry, unaged Martinique rum, honey syrup, lime juice, coconut water, aged Jamaican rum","1 ounce manzanilla sherry<br>
1 ounce unaged Martinique rum<br>
3/4 ounce honey syrup<br>
3/4 ounce lime juice<br>
1 1/2 ounces coconut water<br>
3/4 ounce aged Jamaican rum",,Easy Tiki
Amaro di Cocco,"aged Jamaican rum, Campari, sweet vermouth, black rum, coconut cream, pineapple juice","1 ounce aged Jamaican rum<br>
1 ounce Campari<br>
1 ounce sweet vermouth (preferably Dolin Rouge)<br>
1/2 ounce black rum<br>
1 1/2 ounces coconut cream<br>
1 1/2 ounces pineapple juice",tiki mug,Easy Tiki
Coco No Coco,"aged Demerara rum, heavy cream, pineapple juice, orgeat","1 1/2 ounces aged Demerara rum (preferably El Dorado 12 year)<br>
3/4 ounce heavy cream<br>
3/4 ounce pineapple juice<br>
3/4 ounce orgeat",,Easy Tiki
Gunga Din,"cardamom pods, simple syrup, London dry gin, pineapple juice, lime juice, tonic water","3 cardamom pods<br>
3/4 ounce simple syrup<br>
2 ounces London dry gin (preferably Old Raj 110)<br>
1 ounce pineapple juice<br>
3/4 ounce lime juice<br>
tonic water (preferably Q tonic) to top",,Easy Tiki
Samurai's Downfall,"shochu, peach liqueur, pineapple juice, honey, lime juice, shiso leaves","1 1/2 ounce shochu (preferably Mizu Saga Barley)<br>
1/2 ounce peach liqueur (preferably Giffard crème de pêche de vigne)<br>
1 ounce pineapple juice<br>
1/2 ounce honey<br>
3/4 ounce lime juice<br>
5 green shiso leaves",,Easy Tiki
Spectacle Island,"unaged Martinique rum, aged domestic rum, lime juice, pineapple juice, Madeira, green Chartreuse","3/4 ounce unaged Martinique rum (preferably Neissoon Rhum Agricole Blanc)<br>
3/4 ounce aged domestic rum (preferably Thomas Tew dark rum)<br>
1/2 ounce lime juice<br>
1/2 ounce pineapple juice<br>
1/2 ounce Madeira (preferably Saveiro ""Vento do Oeste"")<br>
1/2 ounce green Chartreuse",,Easy Tiki
Carrot Colada,"London dry gin, Amaro Montenegro, lemon juice, marjoram and pink peppercorn syrup, carrot juice, coconut cream","1 1/2 ounces London dry gin<br>
1/2 ounce Amaro Montenegro<br>
1/2 ounce lemon juice<br>
1/2 ounce marjoram and pink peppercorn syrup<br>
3/4 ounce carrot juice<br>
3/4 ounce coconut cream",,Easy Tiki
Après-Ski Swizzle,"lightly aged Barabdos rum, pineapple juice, green Chartreuse, lime juice, orgeat","1 1/2 ounces lightly aged Barabdos rum (preferably The Real McCoy 3 year)<br>
1 ounce pineapple juice<br>
3/4 ounce green Chartreuse<br>
1/2 ounce lime juice<br>
1/2 ounce orgeat",,Easy Tiki
Tequi L Banane,"tequila, lemon juice, orgeat, banana liqueur, passion fruit liqueur","1 1/2 ounces tequila (preferably La Gritona reposado)<br>
1/2 ounce lemon juice<br>
1/2 ounce orgeat<br>
1/4 ounce banana liqueur (preferably Giffard Banane du Brésil)<br>
1/4 ounce passion fruit liqueur (preferably Giffatd crème de fruit de la passion)",,Easy Tiki
A Coy Decoy,"London dry gin, cucumber-forward gin, grapefruit liqueur, pineapple juice, lime juice, Bittermens Boston Bittahs","1 ounce London dry gin (preferably Fords)<br>
1/2 ounce cucumber-forward gin (preferably Uncle Val's)<br>
3/4 ounce grapefruit liqueur (preferably Giffard crème de pamplemousse rose)<br>
3/4 ounce pineapple juice<br>
3/4 ounce lime juice<br>
4 drops Bittermens Boston Bittahs",,Easy Tiki
